WORD	ANG. SPEL.	MEANING	KIND	FOREBEAR	WHENCE	NOTES
charlady	cearlady	᛫ a maid ( a cleaning lady ) ᛫	N	~	NE	or: charwoman
charlock	cearlock	᛫ a Cruciferae plant ᛫	N	~	NE	
chary	ceary	᛫ wary ᛫ hesitant ᛫ reluctant ᛫ cautiously or suspiciously reluctant to do something ᛫ anxious about doing something ᛫	AJ	~	NE	kin: care ᛫ rhyme: cherry (for some at least)
chavel	ceafel	᛫ a jowl ᛫ a jaw ᛫	N᛬V	chavel[ceafl]	ME	"jowl" has French influence?
cheap	ceep	᛫ bargaining ᛫ a bargain ᛬ to bargain ᛬ inexpensive ᛫ inexpensive and of poor quality	AJ	cheap&chēp&chēpen	NE‹I&ME‹I	terms like "good cheap" simplified to just "cheap"
cheaping	ceeping	᛫ marketing ᛫ trading ᛫ bargaining ᛫	N	chẹ̄pinge	ME‹OE‹I	
cheapstow	ceepstoƿ	᛫ a market place ᛫	N	ceapstōw	OE‹(I+E)	
chedder	cedder	᛫ cedar ᛫	N	cederbēam/cedertrēow	OE‹I‹H	or: cader (from cæderbēam)
cheed	ceed	᛫ a pouch ᛫ a bag ᛫ a sack ᛫	N	cēod	OE	
cheekbone	ceekbone	᛫ a zygomatic bone ᛫	N	~	NE	
cheel	ceel	᛫ a small flat-bottomed kind of ship or boat ᛫	N	cēol	OE	"keel" seems to be Norse
cheen	ceen	᛫ a torch ( of a particular kind? ) ᛫	N	cēn	OE	
cheet	ceet	᛫ a cabin ᛫ a cottage ᛫	N	chẹ̄te[cēte]	ME	
chell	cell	᛫ a gullet ᛫ a front of a neck ᛫	N	chelle/cholle[ceole]	ME	
chettle	cettel	᛫ a kettle ᛫	N	chetel[cetel]	ME	kettle is Norse?
cheves	ceefes	᛫ a concubine ᛫ a paramour ᛫	N	cheves[ciefes/cefes/cyfes]	ME	ANG: ceefs?
chevesborn	ceefesborn	᛫ born of a concubine ᛫ bastard ᛫	AJ	cheves boren	ME	
chide	cide	᛫ to admonish ᛫ to rebuke ᛫ to reproach ᛫	V	~	NE	
child	cild	᛫ a juvenile ᛫	N	~	NE	PL: children; childer
Childermas	cildermas	᛫ Holy Innocents' Day ᛫	N	~	NE‹(E+I)	
childleech	cildleec	᛫ a pediatrician ᛫	N	child+leech	NE×2	or: barnleech
childrearing	cildrearing	᛫ the bringing up of a child ᛫ parenting ᛫	N	~	NE	
chilver	cilfer	᛫ a ewe lamb ᛫	N	~	NE	[MW]
chine	cine	᛫ a fissure ᛫ a chasm ᛬ to crack ᛫ to fissure ᛫	N᛬V	~[cīnu/cīnan]	NE	
Chinish	Cinisc	᛫ Chinese ᛫	N	Chinish	ANE	[OXF]
chink	cink	᛫ a narrow opening ᛫	N	~	NE	
chirk	cirk	᛫ to cheer up ᛫	V	~	NE	
chirkel	cirkel	᛫ the circle of the Zodiac ᛫	N	circul	OE‹I	
chirm	cirm	᛫ noise ᛫ din ᛫	N	~	NE	[MW]
chirse	cirs	᛫ a cherry ᛫	N	ciris/cyrs	OE‹I‹H	
chirten	cirten	᛫ beautiful ᛫	AJ	cyrten	OE	
chirtenledge	cirtenlecg	᛫ to beautify ᛫	V	cyrtenlǣcan	OE	
chise	cise	᛫ choosy ᛫ choice ᛫ picky ᛫ petty ᛫ overly critical ᛫	AJ	chīs	ME	
chisel	cisel	᛫ gravel ᛫	N	chisel/chysel/chesel	ME	
chistle	cistel	᛫ a Castanea plant ( a chestnut tree ) ᛫	N	cystel	OE‹I	also: chistbeam; chistenbeam, stonechist, stonechistle
chit	cit	᛫ a young beast ( such as a whelp or a cub or a kitten ) ᛫ a brat ᛫	N	~	NE	
chokelew	ceokeleƿ	᛫ apt to choke or suffocate someone ᛫	AJ	chokeleu	ME	
choose	ceoos	᛫ to pick ᛫ to decide ᛫ to elect ᛫	V	choose&chēsen	NE&ME	or: cheese
chooser	ceooser	᛫ an elector ᛫ a connoisseur ᛫	N	chooser&chēsere	NE&ME	or: cheeser
choosling	ceoosling	᛫ one of the elect ( of Christian myth ) ᛫	N	chōsling	ME	or: cheesling
chophouse	ceophuse	᛫ a steakhouse ᛫ a restaurant that specializes in steaks , chops , and similar fare ᛫	N	~	NE	see: LEX
chore	ceore	᛫ a task ( especially a habitial one ) ᛫	V	~	NE	
Christendom	cristendom	᛫ Christianity ᛫ the Christian world ᛫	N	~	NE	
churchly	circly	᛫ ecclesiastical ᛫	AJ	~[cyriclīc]	NE	
churchman	circman	᛫ a cleric ᛫ a member of the clergy ᛫	N	~	NE‹(H+E)	
churchward	circƿard	᛫ a custodian of a church ᛫ a sacristan ᛫	N	chircheward	ME‹(H+E)	
churl	cerl	᛫ a commoner ᛫ a peasant ᛫ a boor ᛫	N	~[chē̆rl]	NE	
churlborn	cerlborn	᛫ low-born ᛫	AJ	ceorlboren	OE	
churlfolk	cerlfolk	᛫ the common people ᛫	N	ceorlfolc	OE	
churlish	cerlisc	᛫ servile ᛫ rustic ᛫ rude ᛫ villainous ᛫ unlearned ᛫	AJ	cherlish	ME	
churlishness	cerliscness	᛫ rudeness ᛫ vulgarity ᛫	N	ceorliscnes	OE	
Churlwain	cerlƿain	᛫ the Big Dipper ᛫ Ursa Major ᛫ the constellation Boötes ᛫	N	carlewain	ME	
churly	cerly	᛫ vulgarly ᛫ in the manner of commoners ᛫	AV	ceorllīce	OE	
chy	cie	᛫ to call ᛫ to call upon ᛫ to invoke ᛫ to summon ᛫	V	cīgan	OE	
chyingly	cyingly	᛫ vocative ( grammar ) ᛫	AJ	gecēgendlīc{cīgan}	OE	from Ælfric's Grammar
cinder	sinder	᛫ slag ᛫ dross ᛫ impurity of metal ᛫	N	~	NE	
clammy		᛫ cold and damp ᛫	AJ	~	NE	
clash	clasc	᛫ a conflict ᛬ to conflict ᛫	N᛬V	~	NE	onomatopoeic origin
clauster		᛫ a cloister ᛫	N	clauster	OE‹I	
cleam		᛫ to plaster ᛫ to smear ᛫ to anoint ᛫	V	clēmen[OE clǣman]	ME	kin: cloam
cleancut		᛫ sharply defined ᛫ unambiguous ᛫ of wholesome appearance ᛫	AJ	cleancut	NE‹(E+N)	
cleanhearted		᛫ pure in heart ᛫ innocent of heart ᛫	AJ	clǣnheort+ed	OE+NE	
cleanly		᛫ habitually clean ᛫	AJ	~	NE	
cleanness		᛫ moral purity ᛫ innocence ᛫ cleanliness ᛫ integrity ᛫ chastity ᛫ celibacy ᛫	N	cleaness	NE&ME	
cleanse		᛫ to purge ᛫ to purify ᛫	V	~	NE	
cleat		᛫ a wedge ᛫	N	~	NE	
cleave	cleaf	᛫ to sever ᛫	V	~	NE	PST: clove; cleft ᛫ PTCP: cloven; cleft
cleavers	cleafers	᛫ a Galium aparine plant ᛫	N	~	NE	or: clivers
cleaving	cleafing	᛫ cleavage ᛫	N	~	NE	
cleeve	cleef	᛫ a dwelling ᛫	N	clēve[cleofa]	ME	
cleft		᛫ a fissure ᛫	N	~	NE	kin: cleave
clepe		᛫ to name ᛫ to summon ᛫ to invoke ᛫ to speak ᛫ to utter ᛫ to vocalize ᛫	V	clēpen[cleopian]	ME	PST: clept
clepend		᛫ a vowel ᛫	N	cleopigend	OE	
clependy		᛫ vocalic ᛫	AJ	cleopigend+ly	OE+NE	
clerk		᛫ a cleric ᛫ an office worker ᛫ one who works with records or accounts ᛫	N	~	NE‹‹OE‹I	kin: cleric
clew	cleƿ	᛫ an indication ᛫	N	~	NE	kin: clew
clew	cleƿ	᛫ a sphere ᛫ a ball of thread ᛫	N	~	NE	
cling		᛫ to adhere ᛫	V	~	NE	
clip		᛫ a flexible or spring-loaded device for holding objects ᛫ a metal holder containing firearm cartridges ᛫	N	~	NE	
clip		᛫ to hug ᛫ to embrace ᛫	V	clippen	ME	same word as "clip" meaning "binding device"
clising		᛫ a cell ᛫	N	clȳsing	OE‹I	kin: clūsen (ME)
clithe	cliþe	᛫ a plaster ᛫ salve ᛫ poultice ᛫	N	clithe[cliþa]	ME	
cloam		᛫ earthenware ᛫ crockery ᛫	N	~[clām]	NE	[MW]
clod		᛫ a lump of something ( especially clay or earth ) ᛫	N	~	NE	
clog		᛫ a log ᛫ a block of wood to impede an animal's movement ᛫ a block ᛫ a lump that causes a block ᛫ a lump ᛫	N	~	NE	
clote		᛫ the burdock ᛫ the clotbur ᛫	N	clote	ME	
clothe	cloþe	᛫ to dress ᛫ to give someone clothes ᛫ to endow ᛫	V	~	NE	PTCP: clad
clother	cloþer	᛫ a person who makes or sells cloth or clothing ᛫	N	~	NE	
clough	cluge	᛫ a steep valley ᛫ a ravine ᛫	N	~	NE	[OXF] ᛫ rhyme: tough
clout	clute	᛫ a patch ( of leather cloth metal or code ) ᛫ a blotch ᛫ a heavy blow ᛫ influence ᛬ to patch ( to mend with a patch ) ᛫	N	clout&clout[clūt]	NE&ME	
clove	clofe	᛫ a duplicate charter ᛫ a copy ᛫ a duplicate [ᚹ] ᛬ to copy [ᚹ] ᛫ to duplicate [ᚹ] ᛫	N᛬V	iclova&geclofa	ME&OE	
clove	clofe	᛫ something which is cleft ᛫ a den ᛫ a chasm ᛫ a hollow ᛫ a bulbil ᛫ a bit of garlic ᛫ a celler ᛫	N	clove&clēofa	NE&OE	
cloven	clofen	᛫ divided ᛫	AJ	~	NE	
clutchfist	clucfist	᛫ a miser ᛫	N	~	NE	
coaf		᛫ courageous ᛫	AJ	cōf[cāf]	ME	
coalfish	coalfisc	᛫ a Pollachius virens fish ᛫	N	~	NE	AKA: pollock; saithe
coalmouse	coalmuse	᛫ a Periparus ater bird ᛫	N	coalmouse	NE	
coaser		᛫ an emperor ᛫ an imperator ᛫ a caesar ᛫	N	cāsere	OE‹I	
coaserdom		᛫ imperium ᛫	N	cāserdōm	OE‹(I+E)	
coaserly		᛫ imperial ᛫	AJ	cāserlīc	OE‹(I+E)	
coasern		᛫ an empress ᛫	N	cāsern	OE‹(I+E)	
coaserrich	coaserric	᛫ an empire ᛫	N	cāsere+rīche	OE+ME	calque: Kaiserreich
coathe	coaþe	᛫ disease ᛫ illness ᛫ sickness ᛫	N	~[cothe][coþu]	NE	used only for sheep in Modern English?
coathed	coaþed	᛫ diseased ᛫	AJ	~	NE	
cobweb	cobƿeb	᛫ a spider's web ᛫	N	~	NE	
cock		᛫ a male bird ᛫	N	~	NE	
cocker		᛫ a quiver ᛫	N	coker	ME	
cockshead	cockscead	᛫ an Onobrychis plant ( a sainfoin ) ᛫	N	cock's head	NE	
cod		᛫ a bag ᛫ a sack ᛫ a pouch ᛫ integument ᛫ a scrotum ᛫	N	~	NE	
codapple	codappel	᛫ a quince ? ᛫	N	codæppel	OE	
codtree		᛫ a Ceratonia siliqua plant ( a carob or a locust tree ) ᛫ a Prosopsis plant ( an algarroba ) ᛫	N	~	NE	
coffeehouse	coffeehuse	᛫ a cafe ᛫	N	~	NE‹(O+NE)	
coldrife		᛫ cold ᛫ chilling ᛫ gelid ᛫ frigid ᛫	AJ	~	NE	
cole		᛫ any Brassica oleracea plant ( broccoli , kale , brussels sprouts , cabbage , cauliflower , kohlrabi , gai lan )	N	~[cāl]{cawel}{caulis}	NE‹OE‹I	kin: kale
coleneep		᛫ kohlrabi ᛫	N	cole+nep	NE+ME‹I	calque: Kohlrabi
Coleyn		᛫ the city of Cologne ᛫	N	Coleyn	ME	
colk		᛫ an apple core ᛫ an onion heart ᛫ a core [ᚹ] ᛫	N	colk{hertecolk}	ME	kin: kolk (Middle Dutch); kälk (Swedish dialectal)
comeback	cumback	᛫ a retort ᛫ a return to former and higher status ᛫	N	~	NE	
comeliness	cumliness	᛫ beauty ᛫ attractiveness ᛫	AJ	~	NE	
comeling	cumling	᛫ a foreigner ᛫ a stranger ᛫ an intruder ᛫ a newcomer to a religious faith ᛫ a new convert ᛫ an import ( from abroad ) ᛫	N	cǒmeling 	ME	
comelithe	cumliþe	᛫ hospitable ᛫	AJ	cumlīþe	OE	
comelitheness	cumliþeness	᛫ hospitality ᛫	N	cumlīþness	OE	
comely	cumly	᛫ attractive ᛫ agreeable ᛫ suitable ᛫ proper ᛫	AJ	~	NE	
comendliness	cummendliness	᛫ possibility ᛫	N	acumendlīcness	OE	
comendly	cummendly	᛫ possible ᛫	AJ	ācumendlic	OE	or: comingly; camely
comer	cummer	᛫ a guest ᛫ a stranger ᛫	N	cǒmere{cuma}	ME	
con		᛫ to study attentively ᛫ to study ᛫	V	~[cunnan]	NE	[OXF]
conned		᛫ educated ᛫ having studied ᛫	AJ	~	NE	
conner		᛫ a student ᛫	N	con+er	NE×2	
cook up		᛫ to fabricate ᛫ to make ( usually in a shady or rushed way ) ᛫	V	~	NE	
cookiecutter		᛫ generic ( usually in a bad way ) ᛫	AJ	~	NE‹(NL+E)	
cooler		᛫ a refrigerator ᛫	N	~	NE	
coomb		᛫ a short valley or hollow on a hillside or coastline ᛫	N	~	NE‹C	
cop		᛫ a spider ᛫	N	~	NE	shortened from "atorcoppe" ᛫ kin: cobweb
cop		᛫ the top summit or crest of something ᛫	N	~[copp]	NE	[MW]
coppen		᛫ to eagerly await ᛫	V	copnen	ME	
core		᛫ discrimination ᛫ a decision ᛫ a choice ᛫	N	core&gecor	ME&OE	
corn		᛫ a grain ᛫ maize ( grain from the Zea mays plant ) ᛫	N	~	NE	
cornhouse	cornhuse	᛫ a granary ᛫	N	corne house	ANE	[OED]
Cornish	Cornisc	᛫ Cornish language ᛬ Cornish ᛫ Cornubian ᛫	N(P)᛬AJ(P)	~	NE	or: Cornwelsh; Westwelsh (from OE Westwealas)
cornstone		᛫ granite ᛫	N	corn+stone	NE×2	calque: granite
Cornwales	Cornƿales	᛫ Cornishmen ᛫	N(P)	cornwealas	OE	or: Cornishman; Westwale (from OE Westwealas)
Cornwall	Cornƿall	᛫ Cornubia ᛫	N(P)	cornwealas	OE	or: Westwales; Cornwales
Corsick		᛫ Corsica ᛫	N(P)	Corsicam	OE	or: Corsica
cost		᛫ a trait ᛫ a property ᛫ an attribute ᛫ a disposition ᛫ a way of doing things ᛫ a procedure [ᚹ] ᛫ a process [ᚹ] ᛫ a method [ᚹ] ᛫	N	cost	ME‹N	
costen		᛫ to tempt ᛫	V	costnien[costnian]	ME	
costning		᛫ temptation ᛫	N	costning[costnung]	ME	
cot		᛫ a cottage ᛫	N	cot	OE	
couth	cooþ	᛫ known ᛫ well known ᛫ familiar ᛫ sophisticated ᛫ refined ᛫	AJ	couth&couth	NE&ME	
couther	cooþer	᛫ an acquaintance ᛫	N	cuþa	OE	
couthledge	cooþlecg	᛫ to befriend ᛫ to make known to yourself ᛫	V	cūþlǣcan	OE	
couthly	cooþly	᛫ surely ᛫ certainly ᛫ familiarly ᛫ courteously ᛫	AV	cūþelīce	OE	
couthness	cooþness	᛫ acquaintance ᛫	N	cūþnes	OE	
couthred	cooþred	᛫ intimacy ᛫	N	cuþreden	ME	
cove	cofe	᛫ a small coastal inlet ᛫	N	~[cōfa]	NE	
covegod	cofegod	᛫ a household god ᛫ penates ᛫	N	cōfgod	OE	
cow	cue	᛫ a Bos taurus animal ᛫	N	~	NE	PL: cues; kine
cowberry	cueberry	᛫ a berry from a Vaccinium vitis-idaea plant ᛫ a lingonberry ᛫ a mountain cranberry ᛫	N	~	NE	
Crab		᛫ Cancer ᛫	N(P)	~	NE	
crack		᛫ highly trained and competent ᛫	AJ	~	NE	
craft		᛫ an art ᛫ a vehicle ᛫ a trade ( as in a profession ) ᛬ to construct ᛫ to develop ᛫	N᛬V	~	NE	
crafted tongue	tung	᛫ a constructed language ᛫ a conlang ᛫	N	crafted+tongue	NE×2	
crafter		᛫ an architect ᛫ an artifex ᛫	N	cræftiga	NE&OE	
craftless		᛫ artless ᛫ inexpert ᛫	AJ	~	NE	
craftsman		᛫ an artisan ᛫	N	~	NE	
craftspeech	craftspeec	᛫ a craft's jargon ᛫	N	cræftspræc	OE	
crafty		᛫ relating to a craft ᛫ technical ᛫ wily ᛫ skillful ᛫ innovative ᛫	AJ	~	NE	
cram		᛫ to stuff ᛫ to fill to capacity ᛫	V	~[crammen][crammian]	NE	
cranesbill		᛫ a Geranium plant ᛫	N	~	NE	
crank		᛫ a device which moves something when turned ᛫ methamphetamine ᛬ to turn a crank ᛫	N᛬V	~{crancstæf}	NE	
crat		᛫ a chariot ᛫ a cart ᛫	N	cræt	OE	
craw	craƿ	᛫ the stomach of an animal ᛫	N	~	NE	[MW]
creepdeer		᛫ a reptile ᛫	N	creep+deer	NE×2	calque: Kriechtier
Crete		᛫ Crete ᛫ Cretan wine ᛫	N(P)	Crete&Crēte	NE&ME	
cringe	crincg	᛫ to shudder from embarrassment fear or disgust ᛫	V	~	NE	
cringeworthy	crincgƿorþy	᛫ embarrassing ᛫	AJ	~	NE	
Cristen		᛫ Christian ᛫	AJ	cristen	OE	
Croatish	Croatisc	᛫ Croatian ᛫	AJ	Croat+ish	NE×2	
crock		᛫ an earthenware pot or jar ᛫ something considered to be complete nonsense ᛫	N	~	NE	
crockwright	crockƿrigt	᛫ a potter ᛫	N	crocwyrhta	OE	
croft		᛫ a small rented farm comprising of a plot of arable land attached to a house ᛫	N	croft	NE	
croft		᛫ an underground vault ᛫ a crypt ᛫ a basement ᛫ 	N	~	NE‹Þ‹I	
crook		᛫ a hooked staff ᛫ one who engages in fraudulent or criminal practices ᛫ a bend ᛫ a curve ᛬ to bend ᛫	N᛬V	~	NE	
crooked		᛫ bent ᛫ twisted ᛫ illegal ᛫ fraudulent ᛫	AJ	~	NE	
cropland		᛫ farmland ᛫	N	~	NE	
cropper		᛫ one who raises a crop ᛫	N	~	NE	
crud		᛫ clabber ᛫ curds ᛫ cottage cheese ᛫ rennet ᛫ junket ᛫ a coagulated substance ᛬ to coagulate ᛫ to congeal ᛫ to curdle ᛫	N᛬V	crud&crud&crudden	NE&ME&ME	doublet: curd
crundle	crundel	᛫ a mound raised over graves to protect them ᛫ a barrow ᛫ a tumulus ᛫ a burial mound ᛫	N	crundel	OE	
cud		᛫ gum ᛫ resin ᛫ mastic ᛫ quid ᛫	N	cud[cudu]	ME	
cuddy		᛫ gummy ᛫ resinous ᛫	AJ	cud+y	ME+NE	
cudgel	kicgel	᛫ a club ᛫	N	~[cycgel]{kycglum/kigclas}	NE	"club" is Norse
culver	culfer	᛫ a dove ᛫ a pigeon ᛫	N	~[culfre][columba]	NE‹I	
Cumberland		᛫ Cumbria ᛫	N(P)	~	NE	
cun		᛫ to be able to ᛫	V	cunnen	ME	PST: could ᛫ PTCP: cunnen ᛫ PRES: can ᛫ PPR: cunning
cund		᛫ ( adjectival suffix denoting kind , nature , or origin ) ᛫	SUFFIX	cund	ME	kin: kind
cunning		᛫ ability ᛫ knowledge ᛫ information ᛫ a science ᛫ a field of knowledge ᛫ an art ᛬ experienced ᛫ able ᛫ crafty ᛫ sly ᛫ clever ᛫ guileful ᛫	N᛬AJ	cunning&cǒnninge	NE&ME	
cunt		᛫ a vulva ᛫ a vagina ᛫	N	~	NE	
cust		᛫ virtue ᛫ one's character ᛫	N	custe[cyst]	ME	
custiness		᛫ generosity ᛫ liberality ᛫ munificence ᛫	N	cystignes	OE	
custy		᛫ devout ᛫ benevolent ᛫ of good character ᛫	AJ	cystig	OE	
cutthroat	cutþroat	᛫ a murderer ᛫ a ruthless person ᛬ ruthless ᛫	N᛬AJ	~	NE	
cutwater	cutƿater	᛫ Rynchops niger ᛫ the forward curve of a ship's stern ᛫ the wedge of a bridge pier ᛫	N	~	NE	
daft		᛫ silly ᛫ insane ᛫ crazy ᛫ mad ( crazy ) ᛫ stupid ᛫	AJ	~	NE	
dale		᛫ a valley ᛫	N	~	NE	
dalk		᛫ a clasp ᛫ a buckle ᛫ a brooch ᛫ a fibula ᛫	N	dalk[dalc]	ME	
dall		᛫ eminent ᛫	AJ	deal/deall	OE	
Damask		᛫ Damascus ᛫ a kind of cloth from Damascus ᛫	N(P)	damask	ME‹I?‹O	
damp		᛫ moisture ᛫ humidity ᛫ dampness ᛬ moist ᛫ humid ᛫	N᛬AJ	~	NE‹LG	
dapper		᛫ neat ᛫ spiffy ᛫ stylish ᛫	AJ	~	NE‹NL?	
dare		᛫ to brave ᛫ a challenge of bravery ᛬ to challenge an act of bravery ᛫	V	~	NE	PST: dared; durst
daring		᛫ adventurous courage ᛬ adventurous ᛫ audaciously bold ᛫	N᛬AJ	~	NE	
dark		᛫ aphotic ᛫ atramentous ᛫ caliginous ᛫ cimmerian ᛫ crepuscular ᛫ somber ᛫ solemn ᛫	AJ	~	NE	
darkling		᛫ in the dark ᛬ darkly ᛫ done or taking place in the dark ᛫	AJ᛬AV	~	NE	
darling		᛫ a beloved one ᛬ beloved ᛫	N᛬AJ	~	NE	
darst		᛫ leaven ᛫	N	dærst	OE	
darth	darþ	᛫ a dart ᛫ a javelin ᛫	N	daroþ	OE	"dart" is French, from Frankish cognate of "daroþ"
dash	dasc	᛫ a hyphen ᛫	N	~	NE‹N	
daughterdaughter	daugterdaugter	᛫ a maternal granddaughter ᛫	N	daughter+daughter	NE×2	based on: sunsunu; dohtorsunu
daughterson	daugtersun	᛫ a maternal grandson ᛫	N	dohtorsunu	OE	
daven	dafen	᛫ to suit ᛫ to be fitting ᛬ becoming ᛫ suitable ᛫ proper ᛫ convenient ᛫	V᛬AJ	dafenian&dafen	OE	
daw	daƿ	᛫ a Coloeus monedula bird ᛫	N	~	NE	
daw	daƿ	᛫ to dawn ᛫	V	dauen	ME	kin: day
daws	daƿs	᛫ days ᛫	N	dawes	ME	archaic plural form
dayblindness		᛫ hemeralopia ᛫	N	~	NE	
daybook		᛫ a journal ᛫ a log ᛫ a logbook ᛫ a diary ᛫	N	~	NE	
dayish	dayisc	᛫ diurnal ᛫	AJ	daiish	ME	
daymeal		᛫ a clock ᛫ a sundial ᛫ a waterclock ᛫ a clepsydra ᛫	N	dægmǣl	OE	literally day-measure
daysman		᛫ an arbitrator ᛫ a mediator ᛫ an umpire ᛫ an arbiter ᛫	N	~	NE	[MW]
daystar		᛫ Lucifer ( as in the morning star ) ᛫	N	dægsteorra	OE	
dead		᛫ to kill ᛫ to die ᛫	V	dēden[dēadian]	ME	
deadlock		᛫ a stalemate ᛫ an impasse ᛫	N	~	NE	
deadly		᛫ fatal ᛫ lethal ᛬ fatally ᛫ mortally ᛫	AJ᛬AV	~	NE	
deadly nightshade	nigtscade	᛫ an Atropa belladonna plant ᛫	N	~	NE	
deadname		᛫ a necronym ᛫	N	dead+name	NE	
deadshot	deadscot	᛫ a highly accurate marksman ᛫	N	dead shot	NE	
deal		᛫ a part ᛫ a component ᛫ a portion ᛫ an agreement ᛫ a pact ᛬ to distribute ᛫ to part ᛫ to divide ᛫ to separate ᛫	N᛬V	~	NE	
dealer		᛫ a divider ᛫ a distributor ᛫	N	~	NE	
dealing		᛫ a business transaction ᛫ an interaction ᛫	N	~	NE	
dealnim		᛫ to take part ᛫ to participate ᛫	V	dǣlniman	OE	PST: dealnum; dealnimmed ᛫ PTCP: dealnum
dealnimmer		᛫ a participant ᛫ a participle ( grammatical term ) ᛫	N	dǣlnimend	OE	
dealnimmerly		᛫ sharing ᛫ participating ᛫ participal ᛫	AJ	dǣlnimendlīc	OE	
dealth	dealþ	᛫ a portion ᛫	N	~	NE	rhyme: wealth
dealy		᛫ partial ᛫	AJ	deal+y	NE×2	
dear		᛫ expensive ᛫ costly ᛫ cherished ᛫	AJ	~	NE	
dearest		᛫ a favourite ᛫ a beloved one ᛬ favourite ᛫	N᛬AJ	~	NE	
dearness		᛫ expensiveness ᛫ costliness ᛫ affection ᛫ fondness ᛫	N	~	NE	
dearsome	dearsum	᛫ precious ᛫	AJ	~	NE	
dearth	dearþ	᛫ a famine ᛫ scarcity ᛫ paucity ᛫	N	~	NE	rhyme: birth
dearworthy	dearƿorþy	᛫ precious ᛫ beloved ᛫ precious ᛫ prized ᛫	AJ	dereworthi	ME	
deathknell	deaþknell	᛫ a sign foretelling the death of something ᛫	N	~	NE	
deathless	deaþless	᛫ immortal ᛫	AJ	~	NE	
deathling	deaþling	᛫ a mortal ᛫ a being subject to death ᛫	N	~	NE	
deathlore	deaþlore	᛫ thanatology ᛫	N	~	NE	
deathraked	deaþraked	᛫ a sepulchre ᛫	N	dēaþræced	OE	
deathshild	deaþscild	᛫ a capital crime ᛫	N	dēaþscyld	OE	
deathshildiness	deaþscildiness	᛫ mortality ᛫	N	dethshildiȝnesse	ME	
deathshildy	deaþscildy	᛫ mortal ᛫ liable to death ᛫	AJ	dethshildiȝ	ME	
deathsman	deaþsman	᛫ an executioner ᛫	N	~	NE	
deathsong	deaþsong	᛫ a requiem ( in the musical sense ) ᛫	N	death+song	NE×2	
deech	deec	᛫ to smear ᛫ to daub ᛫ to plaster ᛫	V	dēchen	ME	
deed		᛫ an action ᛫ an act ᛫ a legal document showing bond ᛫	N	~	NE	
deedbane		᛫ an evildoer ᛫	N	dǣdbana	OE	
deedbeet		᛫ to make amends ᛫ to be penitent ᛫ to repent ᛫	V	dǣdbētan	OE	
deedbeeter		᛫ a deed amender ᛫ a penitent ᛫	N	dǣdbēta	OE	
deedboot		᛫ repentance ᛫ penitence ᛫ penance ᛫	N	dǣdbōt	OE	
deedfrom		᛫ a deed-doer ᛫ an actor ᛫ a causative agent ᛫	N	dǣdfruma	OE	
deedlate		᛫ slow to act ᛫ slothful ᛫	AJ	dǣdlæt	OE	
deedlater		᛫ a lazy person ᛫ a sluggard ᛫	N	dǣdlata	OE	
deedlean		᛫ a reward ᛫ recompence ᛫ recompense ᛫	N	dǣdlēan	OE	
deem		᛫ to regard ᛫ to judge ᛫	V	~	NE	
deemer		᛫ a judge ᛫	N	dēma	OE	
deer		᛫ an animal ᛫ a beast ᛫	N	~	NE	PL: deer; deers (huntien after deores)
deerkind		᛫ the animal kingdom ᛫	N	deer+kind	NE×2	
deerleech	deerleec	᛫ a veterinarian ᛫	N	deer+leech	NE+ANE	
deerlore		᛫ zoology ᛫	N	~	NE×2	
deeryard		᛫ a zoo ᛫ a zoological garden ᛫	N	deer+yard	NE×2	calque: diergaarde; Tiergarten
deeve	deef	᛫ proper ᛫	AJ	gedēfe	OE	kin: 𐌲𐌰𐌳𐍉𐍆
deft		᛫ neatly skillful and quick in one's movements ᛫ demonstrating skill and cleverness ᛫	AJ	~	NE	
delf		᛫ digging ᛫ the act of digging ᛫ an excavation ᛫ a quarry ᛫ a mine ᛫	N	delf[gedelf]	ME	
delfine		᛫ a dolphin ᛫	N	delfīn	ME‹I	
dell		᛫ a secluded hollow or small valley usually covered with trees or turf ᛫	N	~	NE	[MW]
delve	delf	᛫ to dig ᛫ to mine to ᛫	V	~	NE	PTCP: dolven
demmerlake		᛫ magic ᛫ sorcery ᛫ the art of magic ᛫	N	dweomerlāk/demerlayke	ME	NEEDS WORK
Den		᛫ a Dane ᛫	N	Dene	OE	or: Deen?
dene		᛫ a valley ᛫ a vale ᛫ a dale ᛫	N	dēne[denu/dænu]	ME	
Denlaw	Denlaƿ	᛫ the region in Britain which was governed by Danish law ᛫ the Danelaw ᛫	N(P)	denelage	OE	
Denmark		᛫ Denmark ᛫	N(P)	~	NE	or: Denmarch
Dennish	Dennisc	᛫ Danish ᛫	N	Dennish[Denisc]	ME	or: Dench (from variant)
Deprobane		᛫ Sri Lanka ᛫ Ceylon ᛫ Taprobana ᛫	N(P)	Dēprobane	OE	
Der		᛫ a Deirian ᛫	N(P)	Dere	OE‹C	
dere		᛫ hurt ᛫ harm ᛫ injury ᛬ to hurt ᛫ to harm ᛫ to injure ᛫	N᛬V	dēre	ME	
derf		᛫ tribulation ᛫ affliction ᛫ trouble ᛫ torture ᛫ labour ᛫	N	derf&deorf	ME&OE	
dern		᛫ to hide ᛫ to conceal ᛬ secret ᛫ hidden ᛫ underhanded ᛫	N᛬V᛬AJ	~	NE	
